name,lead_score,tier,status,notes,phone,address,website,rating,review_count,signal_tags,latitude,longitude,place_id,first_seen_at
Nesh Nail Salon,95,Hot,new,,,"527 Princeland Ct, Corona, CA 92879, USA",,,,no_reviews|no_website,33.884957,-117.558347,ChIJT4JOA1XJ3IARW6muARPy2no,2026-04-26T07:14:11.734Z
Luxury Nail Bar,95,Hot,new,,,"3220 Blume Dr #100, Richmond, CA 94806, USA",,,,no_reviews|no_website,37.9825387,-122.3217702,ChIJHcf1N5V3hYARd1V_xdYpP2o,2026-04-26T09:23:19.952Z
Tracey Nails For Beauty,95,Hot,new,,,"1320 Broadway, Burlingame, CA 94010, USA",,,,no_reviews|no_website,37.5853294,-122.3657128,ChIJP1f4Wn53j4ARzJv1Upnd8kY,2026-04-26T09:20:04.832Z
Nail and spa,95,Hot,new,,,"30159 Hahn Rd, Menifee, CA 92586, USA",,,,no_reviews|no_website,33.6971493,-117.1852533,ChIJDYX6GQCd3IARNvBFNQ98I8A,2026-04-26T08:04:05.286Z
Polish nail spa by sand spa,95,Hot,new,,,"1617 Westcliff Dr, Newport Beach, CA 92660, USA",,,,no_reviews|no_website,33.6257921,-117.9058264,ChIJt11mOwDf3IARg_FL4lz3yqw,2026-04-26T07:23:12.284Z
Nails Salon,95,Hot,new,,,"1675 N Perris Blvd A14, Perris, CA 92571, USA",,,,no_reviews|no_website,33.8015526,-117.2243403,ChIJ2YMccACh3IAR7Y8StRMsGPQ,2026-04-26T07:52:42.356Z
pr3tty nails MJ,95,Hot,new,,,"10757 Lemon Ave, Rancho Cucamonga, CA 91737, USA",,,,no_reviews|no_website,34.1389874,-117.5706048,ChIJtYobJn43w4ARc5ADGMK4sAo,2026-04-26T07:40:30.038Z
The Spa & Nails,95,Hot,new,,,"543 W 9th St, San Pedro, CA 90731, USA",,,,no_reviews|no_website,33.7359365,-118.2889439,ChIJBcnBNC423YARtgUhWTQ8wZ0,2026-04-26T07:53:35.252Z
ColorLab Nail Studio | Ktown,95,Hot,new,,,"533 S Western Ave suite a, Los Angeles, CA 90020, USA",,,,no_reviews|no_website,34.064386,-118.309357,ChIJRWe2RUW5woARKpc4YoGLNyc,2026-04-26T08:00:06.152Z
Rmx nail studios,95,Hot,new,,,"Nadine Ln, Longmont, CO 80504, USA",,,,no_reviews|no_website,40.184472,-105.0573826,ChIJ1YMdTFr5a4cRrGn5F12WJpc,2026-04-26T08:57:23.568Z
